Model,Term,Coefficient,Relativity
frequency,Intercept,-3.7005033794488753,0.02471108428704291
frequency,DrivAgeBand = 18-20 (vs 51-70),0.1261865916263903,1.1344938355846492
frequency,DrivAgeBand = 21-25 (vs 51-70),-0.1822916856256873,0.833358226345346
frequency,DrivAgeBand = 26-30 (vs 51-70),-0.3734454457659128,0.6883585381448529
frequency,DrivAgeBand = 31-40 (vs 51-70),-0.23105409799805113,0.7936965274806115
frequency,DrivAgeBand = 41-50 (vs 51-70),0.0607045776844495,1.0625849565061058
frequency,DrivAgeBand = 71+ (vs 51-70),0.061385053862620664,1.0633082663259317
frequency,VehAgeBand = 0 (vs 1-10),0.2547119684112605,1.2900899806866486
frequency,VehAgeBand = 11+ (vs 1-10),-0.2385305090014169,0.7877846533673969
frequency,VehPowerBand = 4 (vs 6),-0.22554069746305538,0.7980845797692546
frequency,VehPowerBand = 5 (vs 6),-0.032279481056308165,0.9682359406579335
frequency,VehPowerBand = 7 (vs 6),-0.09046164296289128,0.913509372741865
frequency,VehPowerBand = 8 (vs 6),-0.2953364009137966,0.7442811684824844
frequency,VehPowerBand = 9+ (vs 6),0.005145941482267807,1.0051592045797524
frequency,VehBrand = B10 (vs B1),0.01858189014402303,1.0187556077972297
frequency,VehBrand = B11 (vs B1),0.10137087084944041,1.1066870036121905
frequency,VehBrand = B12 (vs B1),-0.1522361976986888,0.8587854136453256
frequency,VehBrand = B13 (vs B1),0.07476747527503623,1.07763354530603
frequency,VehBrand = B14 (vs B1),0.05793269599946303,1.059643675051757
frequency,VehBrand = B2 (vs B1),0.014645082670472067,1.0147528473251173
frequency,VehBrand = B3 (vs B1),0.026010130386414736,1.0263513457565077
frequency,VehBrand = B4 (vs B1),0.04440401876873281,1.0454046326711441
frequency,VehBrand = B5 (vs B1),0.07096165532971835,1.0735400605394714
frequency,VehBrand = B6 (vs B1),0.024634579188368526,1.0249405174889499
frequency,VehGas = Diesel (vs Regular),-0.06684479609699047,0.9353403585462912
frequency,Region = R11 (vs R24),-0.1362529179269103,0.8726219028540088
frequency,Region = R21 (vs R24),0.0852376122876273,1.088975789987895
frequency,Region = R22 (vs R24),0.007213253907132178,1.0072393320882347
frequency,Region = R23 (vs R24),-0.13830622888480537,0.8708319770048327
frequency,Region = R25 (vs R24),-0.05181162607417011,0.9495077124928402
frequency,Region = R26 (vs R24),-0.07697164171019082,0.9259161106315957
frequency,Region = R31 (vs R24),-0.14051119097597364,0.8689139408833302
frequency,Region = R41 (vs R24),-0.29499209771277846,0.7445374709916056
frequency,Region = R42 (vs R24),-0.15734333829024805,0.8544106565584598
frequency,Region = R43 (vs R24),-0.2399541339779629,0.7866639413847881
frequency,Region = R52 (vs R24),-0.07115580337935208,0.9313167785219496
frequency,Region = R53 (vs R24),0.02703966496230106,1.0274085540768496
frequency,Region = R54 (vs R24),-0.1215724284344587,0.885526913698098
frequency,Region = R72 (vs R24),-0.1483020334807928,0.8621706712037998
frequency,Region = R73 (vs R24),-0.16472720013345798,0.848125040930128
frequency,Region = R74 (vs R24),0.11751317973930589,1.1246964530520998
frequency,Region = R82 (vs R24),0.013917662581830085,1.014014964127034
frequency,Region = R83 (vs R24),-0.3488316625542801,0.7055118843428306
frequency,Region = R91 (vs R24),-0.12004905418955433,0.886876930621022
frequency,Region = R93 (vs R24),-0.07203719899201302,0.9304962816436546
frequency,Region = R94 (vs R24),0.04134043728099119,1.0422068512243874
frequency,VehAgeBand = 0 (vs 1-10) × VehBrand = B10 (vs B1),-0.040805738681672823,0.9600156057318808
frequency,VehAgeBand = 11+ (vs 1-10) × VehBrand = B10 (vs B1),0.10644575441100702,1.1123175864864847
frequency,VehAgeBand = 0 (vs 1-10) × VehBrand = B11 (vs B1),-0.4010225809113014,0.6696349399000285
frequency,VehAgeBand = 11+ (vs 1-10) × VehBrand = B11 (vs B1),0.12124106347387159,1.1288970154051514
frequency,VehAgeBand = 0 (vs 1-10) × VehBrand = B12 (vs B1),1.4643936217964888,4.324919907851293
frequency,VehAgeBand = 11+ (vs 1-10) × VehBrand = B12 (vs B1),0.009759277136978953,1.009807054178744
frequency,VehAgeBand = 0 (vs 1-10) × VehBrand = B13 (vs B1),0.15699176648168423,1.1699859807602546
frequency,VehAgeBand = 11+ (vs 1-10) × VehBrand = B13 (vs B1),-0.15660946827786032,0.8550379130517862
frequency,VehAgeBand = 0 (vs 1-10) × VehBrand = B14 (vs B1),0.5498624419007981,1.7330146112745763
frequency,VehAgeBand = 11+ (vs 1-10) × VehBrand = B14 (vs B1),-0.47273860423557734,0.6232929760293396
frequency,VehAgeBand = 0 (vs 1-10) × VehBrand = B2 (vs B1),0.009636049807688063,1.0096826260189908
frequency,VehAgeBand = 11+ (vs 1-10) × VehBrand = B2 (vs B1),-0.02187343486093443,0.9783640539980146
frequency,VehAgeBand = 0 (vs 1-10) × VehBrand = B3 (vs B1),0.1862262406654307,1.2046947804976813
frequency,VehAgeBand = 11+ (vs 1-10) × VehBrand = B3 (vs B1),-0.08316765892349717,0.9201968550721316
frequency,VehAgeBand = 0 (vs 1-10) × VehBrand = B4 (vs B1),0.297649420805574,1.3466895837625037
frequency,VehAgeBand = 11+ (vs 1-10) × VehBrand = B4 (vs B1),-0.14381284333168323,0.8660498198912071
frequency,VehAgeBand = 0 (vs 1-10) × VehBrand = B5 (vs B1),-0.05032656161004706,0.9509188402035391
frequency,VehAgeBand = 11+ (vs 1-10) × VehBrand = B5 (vs B1),-0.03012764313495992,0.9703216707435848
frequency,VehAgeBand = 0 (vs 1-10) × VehBrand = B6 (vs B1),0.15947192893364745,1.1728913374480556
frequency,VehAgeBand = 11+ (vs 1-10) × VehBrand = B6 (vs B1),-0.11499108608961119,0.8913740895001748
frequency,BonusMalusCapped,0.02273391920429236,1.02299430419206
frequency,LogDensity,0.03368622055067751,1.0342600262659436
frequency,AreaCode,0.012259490534725956,1.012334946122559
frequency,NewVehAge × YoungDrivAge,-0.30638663546206374,0.7361019613082425
severity,Intercept,6.4848003578877105,655.1081640052566
severity,DrivAgeBand = 18-20 (vs 51-70),-0.050211367654394795,0.9510283866156676
severity,DrivAgeBand = 21-25 (vs 51-70),-0.22453105258347153,0.7988907686924681
severity,DrivAgeBand = 26-30 (vs 51-70),-0.19564366098736757,0.822305201900989
severity,DrivAgeBand = 31-40 (vs 51-70),-0.1110137337015871,0.8949264581917133
severity,DrivAgeBand = 41-50 (vs 51-70),-0.03756374502658369,0.9631330208239531
severity,DrivAgeBand = 71+ (vs 51-70),0.14533463338483,1.1564264844360062
severity,VehAgeBand = 0 (vs 1-10),0.02036566193380898,1.0205744570348105
severity,VehAgeBand = 11+ (vs 1-10),-0.0395810272485372,0.9611920680866077
severity,VehPowerBand = 4 (vs 6),0.007719841744244033,1.0077497165492963
severity,VehPowerBand = 5 (vs 6),0.0043702947845837906,1.0043798584497725
severity,VehPowerBand = 7 (vs 6),0.022962883841042656,1.0232285605285019
severity,VehPowerBand = 8 (vs 6),0.02151172849840742,1.0217447737990601
severity,VehPowerBand = 9+ (vs 6),0.020929331588802655,1.0211498860476036
severity,VehBrand = B10 (vs B1),0.016607012557726702,1.0167456755198312
severity,VehBrand = B11 (vs B1),-0.06982794502153175,0.9325542567061353
severity,VehBrand = B12 (vs B1),0.20411265737195167,1.2264363127655944
severity,VehBrand = B13 (vs B1),-0.024124251756274653,0.9761644120797269
severity,VehBrand = B14 (vs B1),0.006232012437751511,1.0062514718299864
severity,VehBrand = B2 (vs B1),0.009780052527610978,1.009828033532684
severity,VehBrand = B3 (vs B1),0.02184428734153175,1.0220846205653946
severity,VehBrand = B4 (vs B1),-0.05168496352225968,0.9496279871797517
severity,VehBrand = B5 (vs B1),-0.0628000981837392,0.9391311889565762
severity,VehBrand = B6 (vs B1),-0.01989807813424828,0.9802985820757036
severity,VehGas = Regular (vs Diesel),-0.03420659540638428,0.9663718360307253
severity,Region = R11 (vs R24),0.03351848589899131,1.0340865595692796
severity,Region = R21 (vs R24),0.1141357902076704,1.120904322381169
severity,Region = R22 (vs R24),-0.023248132491940215,0.9770200232803059
severity,Region = R23 (vs R24),0.04013738276453466,1.0409537734764978
severity,Region = R25 (vs R24),0.03919712677156606,1.039975470452299
severity,Region = R26 (vs R24),0.09470996040857557,1.0993399567698658
severity,Region = R31 (vs R24),0.08356464369016295,1.0871554907641239
severity,Region = R41 (vs R24),0.13029891155740927,1.13916884317146
severity,Region = R42 (vs R24),0.00029366528979568596,1.000293708413668
severity,Region = R43 (vs R24),0.27689982755465237,1.3190342335321308
severity,Region = R52 (vs R24),0.0017117572591245495,1.00171322315188
severity,Region = R53 (vs R24),0.09577739446287906,1.100514056202355
severity,Region = R54 (vs R24),0.033477335127888586,1.0340440069855084
severity,Region = R72 (vs R24),0.1117362289793151,1.1182178682730735
severity,Region = R73 (vs R24),0.02986895062235187,1.0303195023762428
severity,Region = R74 (vs R24),0.05540612980782689,1.0569697944577459
severity,Region = R82 (vs R24),0.0410695225902666,1.0419245403204291
severity,Region = R83 (vs R24),-0.03180802622596879,0.9686925277907124
severity,Region = R91 (vs R24),0.16533433442617693,1.1797874963563102
severity,Region = R93 (vs R24),0.13887122501909746,1.1489761310971236
severity,Region = R94 (vs R24),0.40639832632239586,1.5014004806967551
severity,BonusMalusCapped,0.006161165959429353,1.0061801849821415
severity,LogDensity,-0.003577421126191034,0.996428970220981
severity,AreaCode,-0.0011521411831276612,0.998848522276701
