Decile,Exposure,Actual_Cost,Earned_Pure_Premium,Observed_Burning_Cost,Predicted_Burning_Cost
0,8410.111144546747,420168.74,623540.821413998,49.95995091841851,74.14180510780908
1,8280.007590388503,703251.78,735091.522673995,84.93371199518467,88.7790880200756
2,7783.448419791901,1128120.66,784683.1266396063,144.9384127903248,100.81432860071368
3,7903.663568380867,968633.4299999999,889736.6047181975,122.55499258281723,112.57268189876503
4,7877.615747436185,820388.37,971957.0340866083,104.14170940833209,123.3821330271075
5,7543.4089108466205,1003018.63,1019695.5977331911,132.96622811442262,135.17702802336186
6,7103.401707463134,1049034.41,1060901.8699294033,147.68056956399354,149.35124235122098
7,6526.633119245453,1079458.53,1146278.4075193577,165.39286187497495,175.63089368992746
8,5777.914770566659,1750541.5999999999,1461695.3891052473,302.971170311728,252.9797421989134
9,4411.287338124111,1417607.02,2943652.1501857326,321.3590299930074,667.3000248126012
