Decile,Exposure,Actual_Cost,Earned_Pure_Premium,Observed_Burning_Cost,Predicted_Burning_Cost
0,8409.811144546748,420168.74,588230.2461380792,49.961733120779286,69.94571412219058
1,8280.307590388502,703251.78,693505.5994416348,84.9306348010925,83.7536035794893
2,7784.688419791901,1128198.81,740392.0896819672,144.9253649165523,95.1087634798053
3,7902.4235683808665,968555.28,839248.7878295007,122.56433379189873,106.2014432113584
4,7877.615747436185,820388.37,916940.6452670933,104.14170940833209,116.39824468025327
5,7545.10891084662,1003018.63,962203.7138131297,132.93626929070444,127.52681574018034
6,7101.701707463133,1049034.41,1000623.4097340744,147.71592122738363,140.89910432066242
7,6526.633119245453,1079458.53,1081394.6267852834,165.39286187497495,165.68950744243827
8,5777.914770566659,1750541.5999999999,1378958.4368582903,302.971170311728,238.6602245991682
9,4411.287338124111,1417607.02,2777030.552566779,321.3590299930074,629.5283756663433
