Decile,Exposure,Actual_Cost,Earned_Pure_Premium,Observed_Burning_Cost,Predicted_Burning_Cost
0,8408.061144546748,420168.74,633499.6841287768,49.97213183594777,75.34432412395674
1,8275.547590388502,703251.78,795508.7599987088,84.97948592752705,96.12762796780233
2,7789.9584197919,1128120.66,850366.5453224769,144.81728902862827,109.1618850187898
3,7900.4235683808665,968633.4299999999,963040.5038146938,122.60525294829404,121.89732556479396
4,7880.855747436185,820388.37,1052901.5368715296,104.09889437030874,133.60243742744075
5,7541.47891084662,1003018.63,1103885.2547569077,133.0002565620646,146.37516961948032
6,7103.191707463134,1049034.41,1148729.0027441892,147.68493561814014,161.72011823040765
7,6528.133119245453,1079458.53,1241480.674487761,165.354858775424,190.17392136624449
8,5778.5547705666595,1750541.5999999999,1582941.9960777715,302.9376149407575,273.9338915918148
9,4411.287338124111,1417607.02,3187545.0625421037,321.3590299930074,722.5884006680009
