Decile,Exposure,Actual_Cost,Earned_Pure_Premium,Observed_Burning_Cost,Predicted_Burning_Cost
0,8408.061144546748,420168.74,551913.1180182755,49.97213183594777,65.64094962323533
1,8275.547590388502,703251.78,693057.5202188888,84.97948592752705,83.74763272751026
2,7789.9584197919,1128120.66,740850.3322820175,144.81728902862827,95.10324604554287
3,7900.4235683808665,968633.4299999999,839013.3421601092,122.60525294829404,106.19852655976757
4,7880.855747436185,820388.37,917301.4363537915,104.09889437030874,116.39617139956023
5,7541.47891084662,1003018.63,961719.1107603398,133.0002565620646,127.52394087811291
6,7103.191707463134,1049034.41,1000787.5639819441,147.68493561814014,140.8926585679003
7,6528.133119245453,1079458.53,1081594.019984843,165.354858775424,165.68197985978844
8,5778.5547705666595,1750541.5999999999,1379079.5395562695,302.9376149407575,238.6547492083446
9,4411.287338124111,1417607.02,2777030.4837811952,321.3590299930074,629.5283600732572
