Decile,Exposure,Actual_Cost,Earned_Pure_Premium,Observed_Burning_Cost,Predicted_Burning_Cost
0,8295.480297926491,1017032.89,673067.0688467026,122.60084449289981,81.13660025386837
1,7732.942713526461,814842.5599999999,694379.090693203,105.37289492325833,89.7949353069169
2,7348.854696459316,501423.58999999997,713208.8991393218,68.23152868182116,97.05034710822986
3,7363.622362452279,568013.43,764481.362225249,77.13777296570063,103.81865399879858
4,7598.739027621828,969527.37,844117.4296374054,127.5905602858205,111.08651403463033
5,7739.88832023355,792609.42,924991.4878627218,102.40579543350351,119.50966856260922
6,7634.474805748933,1149915.65,997608.0755629912,150.62144800505297,130.6714739318767
7,6591.238982708286,948080.8099999999,1014348.640335332,143.83954405040268,153.89347025595853
8,5702.780128003593,1527569.66,1308667.3510435438,267.8640287215081,229.47883693030911
9,5609.470982109439,2051207.79,3791209.2046141326,365.6686693882574,675.8585999830683
