Decile,Exposure,Actual_Cost,Earned_Pure_Premium,Observed_Burning_Cost,Predicted_Burning_Cost
0,8295.890297926491,1017032.89,634997.6279774085,122.59478530643075,76.54363849725958
1,7730.972713526461,814842.5599999999,654904.0676943484,105.39974595619958,84.71172929487884
2,7351.984696459316,501423.58999999997,673125.1491772588,68.20248010601591,91.55693013091185
3,7354.07236245228,567937.43,720252.2376523917,77.22760968463143,97.93923722178567
4,7606.719027621828,969603.37,797144.2852013848,127.46669970050645,104.79475872669438
5,7746.13832023355,792609.42,873367.511517404,102.3231689433739,112.74876272685401
6,7627.334805748933,1149915.65,940288.9942360731,150.76244576719992,123.27884092977685
7,6592.1289827082865,948080.8099999999,957049.788608062,143.82012434630698,145.18068307196123
8,5702.780128003593,1527569.66,1234591.7991322256,267.8640287215081,216.48946152942892
9,5609.470982109439,2051207.79,3576612.275667984,365.6686693882574,637.6024204555205
