Decile,Exposure,Actual_Cost,Earned_Pure_Premium,Observed_Burning_Cost,Predicted_Burning_Cost
0,8293.650297926491,1017032.89,498365.55335986154,122.62789645884514,60.090012896306796
1,7728.672713526462,814842.5599999999,531631.4470137783,105.43111219781503,68.78690128556418
2,7348.2446964593155,501423.58999999997,546295.1463370455,68.23719278722527,74.34362475711687
3,7356.722362452279,567937.43,585049.7826867079,77.19979115953542,79.52587495658709
4,7612.349027621828,969603.37,647778.2871971559,127.37242689237458,85.09571550734952
5,7734.9083202335505,792609.42,708141.125151041,102.47172780660284,91.55132754432687
6,7638.564805748933,1149915.65,764625.5612233075,150.5407991216558,100.1006839200782
7,6591.678982708287,948080.8099999999,777103.6524989803,143.82994264239295,117.89161070154178
8,5703.230128003593,1527569.66,1002602.8358175225,267.8428935384242,175.79561289217733
9,5609.470982109439,2051207.79,2904362.006011943,365.6686693882574,517.7604118596864
