Decile,Exposure,Actual_Cost,Earned_Pure_Premium,Observed_Burning_Cost,Predicted_Burning_Cost
0,8293.650297926491,1017032.89,613718.3720279502,122.62789645884514,73.99858325125993
1,7728.672713526462,814842.5599999999,654684.0647001216,105.43111219781503,84.70847310616682
2,7348.2446964593155,501423.58999999997,672741.8570493545,68.23719278722527,91.55136836604107
3,7356.722362452279,567937.43,720466.7292213999,77.19979115953542,97.9331139229292
4,7612.349027621828,969603.37,797714.5153261139,127.37242689237458,104.79216237084805
5,7734.9083202335505,792609.42,872049.07234012,102.47172780660284,112.74200497747968
6,7638.564805748933,1149915.65,941607.5237970506,150.5407991216558,123.27021472520313
7,6591.678982708287,948080.8099999999,956973.822314461,143.82994264239295,145.17906967630793
8,5703.230128003593,1527569.66,1234667.5568570585,267.8428935384242,216.48566323751908
9,5609.470982109439,2051207.79,3576612.2078312994,365.6686693882574,637.6024083622794
