Band,Exposure,Claims,Actual,GLM,XGBoost,ClaimFrequency,ActualBurningCost,GLMBurningCost,XGBoostBurningCost,GLMAE,XGBoostAE
R11,6042.620785986975,796,808554.27,1287799.917931532,1177098.7614598759,0.13173092076966814,133.80854080319958,213.11943336209018,194.7993764873686,0.6278570597354147,0.6869043588128535
R21,247.45369863013698,35,399436.18,65108.511932205845,39461.24079105215,0.14144060159033486,1614.1855313184367,263.1139170383626,159.46918962821366,6.134930259440001,10.122240760624342
R22,710.5948566509469,92,101440.49,129053.55104305,132802.6238122956,0.12946899226599884,142.75432625292535,181.61340436839487,186.88936820933102,0.7860340856964194,0.7638440197038342
R23,638.2129837562692,57,68121.06,99189.58714015667,85310.1746676051,0.08931187777553591,106.7371892045605,155.4176891801323,133.67038408636432,0.6867763236451798,0.7985103800973422
R24,20437.8543259226,1834,2649984.7,2485739.2212380897,2855281.6682494357,0.08973544731032866,129.66061200655787,121.62427530786695,139.70554945329582,1.0660751044834476,0.928099223788558
R25,1329.7648963245751,125,318476.62,178031.43683162928,194710.35818278955,0.09400157903513301,239.49844132617616,133.8818894405335,146.4246489894284,1.7888785580110482,1.6356429260996046
R26,1034.4486248970732,109,154042.68,162604.47152101278,158692.18072944952,0.10537014345284225,148.91283751798414,157.1895090847956,153.40750319547215,0.9473459035847832,0.9707011353169546
R31,2289.751314469646,235,262272.74,398025.56737944984,356220.9640192265,0.10263123270853144,114.54201962571985,173.8291686368748,155.57190065495593,0.6589344039549284,0.7362641913063943
R41,1576.2520547945205,117,135912.75,200489.96073070355,207064.59034346763,0.0742267073620101,86.22526428218838,127.194099522896,131.36515173041946,0.6779030207031507,0.6563785231195504
R42,230.22188038026798,22,18225.66,40246.1258185305,36177.30210379117,0.095559987450635,79.16562913088819,174.81451264342962,157.14102431982343,0.45285501720536714,0.5037871521682669
R43,106.93642338498391,9,11050.52,16036.492183727496,12634.010011929104,0.08416215649553682,103.33728817745107,149.96286275625852,118.14505864335071,0.6890858595131641,0.8746644960361782
R52,4381.891299498466,388,413662.76,561141.1750110257,641772.4766346227,0.08854624030596309,94.40278905306168,128.05912713427003,146.4601544789752,0.7371812627933996,0.6445629488026622
R53,5567.09230780747,512,630062.16,774179.5618919813,828277.1881261731,0.0919690157251308,113.17616543134744,139.06353965179397,148.7809330850452,0.8138449928337304,0.760689982812881
R54,2266.8414192679093,209,258008.62,282540.96592711925,310174.95097893797,0.09219877412840721,113.818557313694,124.64081674419361,136.83134088802336,0.9131724284773369,0.8318164287145152
R72,2836.7321738154055,288,305844.21,425443.9833885463,398417.40442989394,0.10152527004783815,107.81568060006154,149.9767892491324,140.44942561286018,0.7188824426756105,0.7676477146816431
R73,1391.130687177184,145,104391.51,215050.7579621307,181075.86368411657,0.10423176006146992,75.0407642949968,154.58702762031757,130.16452397549153,0.4854273055777036,0.5765070389619072
R74,505.43396736282654,44,32465.739999999998,87658.8103739105,76872.41753705552,0.08705390385528745,64.23339564888092,173.4327647808927,152.09191012259873,0.3703648254124908,0.42233275653585683
R82,9074.295530354068,1040,1540509.63,1472590.9657639489,1554876.4342578773,0.1146094478101509,169.76630580819216,162.28157445809904,171.3495476377997,1.0461218802879293,0.9907601633536015
R83,435.95665244404523,28,32240.88,58412.91741353248,53207.26564272173,0.06422656895594404,73.95432509001132,133.98790243493244,122.04714699141068,0.551947778463994,0.6059488231643465
R91,2913.076457818699,297,577117.91,518948.82681382884,409237.3494660932,0.10195406962383421,198.11286052963533,178.1445953541555,140.48287279508227,1.1120902104034223,1.4102278561644734
R93,7257.044389550116,781,1475910.97,1359391.0196839392,1265806.9933842693,0.10761957045827253,203.37631834321684,187.32020182230298,174.42459015504798,1.0857148154054688,1.165984212217058
R94,343.8855864959952,52,42491.11,124662.63911762256,66063.50295225058,0.15121308377548293,123.56176492583192,362.51196331857415,192.10896166193328,0.340848792394877,0.6431858454540589
