Band,Exposure,Claims,Actual,GLM,XGBoost,ClaimFrequency,ActualBurningCost,GLMBurningCost,XGBoostBurningCost,GLMAE,XGBoostAE
B1,19096.88745415076,1745,2483149.54,2462031.792123146,2746998.1551840804,0.0913761472485779,130.02901891534583,128.92319746001417,143.8453340513882,1.0085773660374397,0.9039502029929832
B10,1846.2414866382214,175,266535.19,256863.42958131648,274523.2390362879,0.09478716693700426,144.36637456637797,139.12775302706103,148.6930290663985,1.0376533180859897,0.9709021026258838
B11,1355.198809042593,136,318734.92,192488.5151259621,231977.6551103117,0.10035427945518922,235.19421495446605,142.03710469753838,171.17610609043916,1.6558646098517815,1.3739897484886328
B12,12917.032405868702,1758,2148344.22,3216803.3400193364,2331614.92205949,0.13609937211284484,166.31871412073917,249.03578770599194,180.5070118892129,0.6678506557342379,0.9213975256696296
B13,1388.9603286174115,125,143723.66,202935.9388094226,234494.09996434784,0.08999537094369467,103.47571276068362,146.10636072768727,168.82706808319443,0.7082218203596312,0.6129094933384317
B14,449.8420098809791,33,67677.1,46631.84601383131,61460.632615484006,0.07335908891375277,150.44637564621024,103.66271933154785,136.62715190105408,1.4513064736902446,1.1011455157549073
B2,19052.9430982858,1772,2588051.35,2459293.681955949,2738969.6726145707,0.09300400420339404,135.83472834875826,129.07683969188008,143.75572626682523,1.0523555478504896,0.9448996007062368
B3,5642.134980163186,538,1144653.02,794947.7457135369,889448.2902620885,0.09535397538192884,202.87586596641358,140.89484716484836,157.64392262667266,1.4399097628392812,1.2869247515925988
B4,2772.8509184819222,249,305800.35,352881.37078007887,417168.2689220301,0.08979927422002272,110.28373287642138,127.2630159912362,150.44742079044804,0.8665811667076625,0.7330383751146589
B5,4041.0326469047086,393,487497.77,568827.2190869491,666008.7150447706,0.09725236946576624,120.63692936838966,140.7628368265352,164.81151558003629,0.8570225784597741,0.7319690553407088
B6,3054.368178755895,291,386056.05,388641.58788814483,448572.07065146824,0.09527338649740978,126.39473285674693,127.2412378413549,146.8624751172534,0.9933472434018333,0.8606332744687487
