Band,Exposure,Claims,Actual,GLM,XGBoost,ClaimFrequency,ActualBurningCost,GLMBurningCost,XGBoostBurningCost,GLMAE,XGBoostAE
4,12019.98529081518,1142,1576244.81,1748512.3060599158,1702611.3599861078,0.09500843573183367,131.13533601446704,145.4670919935322,141.6483730048424,0.9014776759289147,0.925780743065676
5,13548.761536791677,1443,1602678.34,2141337.9803967634,2226209.298358985,0.10650419937508915,118.28965589570126,158.0467686719526,164.31090711233728,0.748447164656858,0.7199135953575384
6,16670.069459540384,1708,2477290.2399999998,2490827.6732683927,2626166.408056072,0.10245908117812316,148.60707365452706,149.41915385018845,157.53782036901475,0.9945650863712183,0.9433104590785347
7,15559.780791975447,1495,2507408.73,2309080.568533174,2325942.6524251765,0.09608104509872063,161.14679014585676,148.40058477713404,149.48428152822828,1.0858905333012319,1.0780182939530412
8,4494.076163635003,378,537813.4,608007.5760189587,631376.751997322,0.08411072403683015,119.67162558388716,135.2908926953245,140.49088822888066,0.8845504911656399,0.8518105842488816
9,2980.201947002021,360,334650.92,476373.80088093015,501106.3932202541,0.1207971830104156,112.29135674401097,159.84614779550276,168.14511302643422,0.7024964836041563,0.6678240879136199
10,3037.4193569877984,339,798457.26,545890.6832709354,534116.7597129248,0.11160790136538325,262.87356672139873,179.72186883417177,175.84557709627794,1.4626687805252598,1.494911450502231
11,1722.652293584849,188,249430.04,321854.6985646311,262261.89952312474,0.10913403749561726,144.79418796751764,186.83671670900554,152.24308497993886,0.7749771592969689,0.9510723458250813
12,778.1132450033685,85,183345.84,151909.6270718756,114763.00999887037,0.10923859803932784,235.62873550521078,195.22817282363312,147.48882728294075,1.2069402284375987,1.5976039666596815
13,320.75477954936747,29,29753.93,54629.42347873582,45691.02785237368,0.09041174706965388,92.76223425821333,170.31522821105082,142.44847081176965,0.5446502654669519,0.65119852624314
14,233.51733737555207,26,21422.27,35155.67947074554,34369.662447254064,0.1113407693501821,91.73738550105098,150.5484768962004,147.18248689166654,0.6093544577292649,0.6232900899994587
15,252.16011452953066,22,21727.39,58766.45008261511,36620.49788646463,0.0872461532667315,86.1650544557295,233.05212322043474,145.2271623321141,0.36972439154407283,0.5933122500781373
