Band,Exposure,Actual,A,B,RatioMin,RatioMax,ActualIndex,AIndex,BIndex
1,7161.042012875215,1127060.93,2350300.2765050572,1042337.2093483952,0.041769586899775626,0.7041023201696198,1.0900850195474918,2.148106347533035,0.9441335879770749
2,7162.295209222247,868401.77,1123921.976679107,846956.007546055,0.7041026396278286,0.798153579246467,0.8397648270920262,1.0270523823645745,0.7670259615436655
3,7161.374263043641,1422518.5,986087.8578477366,820089.5903889016,0.7981681548176557,0.8633230921091812,1.3757855700958797,0.9012139144436292,0.7427905271327434
4,7161.979500711131,1185364.81,920871.2733009785,820891.4656904229,0.8633298256655817,0.9189613793103989,1.1463260310232062,0.8415394893533594,0.7434539877890207
5,7161.434392544352,896088.38,867882.7536012836,821150.3796991766,0.9189709266042758,0.9741152425584187,0.8666425860689468,0.7931762269281385,0.7437450850278506
6,7162.296228011079,651294.5599999999,816678.1055883223,818584.8679648595,0.9741305955485918,1.0318553004996789,0.6298169864009245,0.7462894151587083,0.7413321950025259
7,7161.287276742271,597126.95,788964.8925509371,838534.2608969328,1.0318623201991977,1.0972473390315594,0.577517002485015,0.7210663534349449,0.7595058864692674
8,7162.223874541508,637660.52,778314.3795906797,889110.7163395067,1.0972488103339375,1.1937454038170288,0.6166387819207828,0.7112394062721682,0.8052104104254694
9,7161.290741073433,734737.86,826520.8584785939,1056642.3978886793,1.1937467404009026,1.3927797528667503,0.7106083576525,0.7553898770144626,0.9570577736473936
10,7162.268818025302,2219968.89,1482804.0929549774,3086938.825702,1.3928349374744586,18.162391000266407,2.1467697611548178,1.3550078381108641,2.7956244769921423
