Band,Exposure,Actual,Predicted,ActualBurningCost,PredictedBurningCost
1,7161.265373905232,345140.42,456953.8477213767,48.195451778347596,63.80909292741198
2,7162.120982857999,509270.73,580336.5804570398,71.10613339524723,81.02859220697779
3,7161.122536866532,1144310.08,653945.6227591186,159.79479112512323,91.31887066483061
4,7162.371827232577,625193.5599999999,727752.7058561697,87.28862101558396,101.60778069202271
5,7161.461025525863,919151.18,795594.041614614,128.34688015808996,111.09381713854874
6,7161.862709035107,793385.39,863829.7095159795,110.77919561332808,120.61522883232709
7,7161.631523317614,937446.77,942409.8887393562,130.8984924661035,131.59150755954929
8,7161.782758440003,1144888.39,1052909.7127370622,159.86080960788348,147.0178233898859
9,7162.036501235122,1722770.48,1346755.6955688454,240.5419854678067,188.04088688134888
10,7161.83707837413,2198666.17,3521858.662128112,306.99751278049706,491.7535296582925
