Band,Exposure,Actual,Predicted,ActualBurningCost,PredictedBurningCost
1,7160.845373905232,726688.77,522888.2585925594,101.48086322993646,73.02046494370784
2,7162.2071944007785,993272.9099999999,596820.3878536292,138.68251546485754,83.32911512532161
3,7161.918243131971,495418.79,644390.7078087763,69.17403594701591,89.97459701899339
4,7161.969485739951,503291.09,688864.5048435639,70.27272191009645,96.18366934055608
5,7161.582405120143,882398.53,734965.4611355687,123.21278735396983,102.62612640051564
6,7161.933874541508,668775.46,785085.9409746816,93.37917268090018,109.61926690854028
7,7161.779894453178,785398.48,845842.0617655915,109.66526360413474,118.10500660885975
8,7161.680688674302,1243481.96,944490.4747179315,173.6299081256834,131.88112061622311
9,7161.633164158994,1591464.82,1293860.4257021535,222.22093529791806,180.66555435670577
10,7161.941992664121,2450032.36,3984027.4980704742,342.09050597024304,556.2775434583607
