ExposureShare,GLM,XGBoost
0.0,0.0,0.0
0.005,0.00043282818237277954,0.0003693692038563613
0.01,0.001501415370322225,0.002037014061854141
0.015,0.00271690751138788,0.003082602713302947
0.02,0.004849323455502415,0.004201788422328605
0.025,0.006469150510607405,0.005070401202955853
0.03,0.007520472113756131,0.005760335054741376
0.035,0.00905491771895674,0.006383456035214372
0.04,0.011770838791286943,0.007783326208422634
0.045,0.012522943448231207,0.009265052448573018
0.05,0.01699476762840507,0.01260058393884742
0.055,0.017428684762129755,0.014182725806681017
0.06,0.018888925005667943,0.01751815381756407
0.065,0.020703002873389623,0.019023252860798742
0.07,0.02186753770034926,0.020591697732187334
0.075,0.023052214258930732,0.05941719921311911
0.08,0.025684582975978452,0.0628491125690085
0.085,0.026555245035393173,0.06428722369635276
0.09,0.02770431984786649,0.06615287685323717
0.095,0.03231685569122973,0.06803638165577423
0.1,0.033378430457995614,0.07027786132395435
0.105,0.03402264672784621,0.09123814201004324
0.11,0.03735153619513223,0.0975153902518059
0.115,0.04021304406721039,0.09809570773509711
0.12,0.04189070031454648,0.0998982964890882
0.125,0.04517099218468801,0.10159346299679523
0.13,0.047508449471888904,0.10300888602581289
0.135,0.04882806895936656,0.10814336031395348
0.14,0.051848038595089616,0.10968322456429154
0.145,0.05299807470209562,0.11111296643319939
0.15,0.05538587326254002,0.11186737955095807
0.155,0.05857849777917315,0.1130372595236744
0.16,0.05988355858667601,0.1145726722259904
0.165,0.061326616415765395,0.13380891468709002
0.17,0.06382706148111113,0.13726753152852908
0.17500000000000002,0.06966953886354076,0.14010645961715756
0.18,0.07189904586943259,0.1564682138286965
0.185,0.07724394985180959,0.15877271244620553
0.19,0.08002373608344467,0.16314291599569042
0.195,0.08149015511045295,0.16560400020844054
0.2,0.08262985585058696,0.1663369979276764
0.20500000000000002,0.09590469796407686,0.16883289280109431
0.21,0.09816934250946147,0.17226398895992126
0.215,0.10043840282027486,0.17417224950252164
0.22,0.10201005845408646,0.17616703044524357
0.225,0.10351192255747024,0.17739302332678794
0.23,0.10679434010707138,0.17938991059513112
0.23500000000000001,0.10928272450429133,0.18106529803263458
0.24,0.11110291249158798,0.18252149290893915
0.245,0.11354149525575473,0.18614274453807592
0.25,0.11539127096124735,0.1892934734405741
0.255,0.1169928453294689,0.1900301645036936
0.26,0.11975227803521389,0.1911559467821432
0.265,0.12199073842619981,0.1930289643835612
0.27,0.12496134065547457,0.1955468346047317
0.275,0.12863249496486306,0.19813059315237244
0.28,0.1305034763577546,0.20349765332966263
0.28500000000000003,0.1338278320737638,0.2059060879838865
0.29,0.15363970717858322,0.20785098586996992
0.295,0.1922692409355418,0.21169507601643042
0.3,0.1932957535963899,0.21424880619863884
0.305,0.1967853513939198,0.2161793012829147
0.31,0.19885356594291012,0.21872771146389156
0.315,0.20177217703126246,0.22105670080623308
0.32,0.20431667530440764,0.22323655031905917
0.325,0.20803831451541135,0.2246147246355812
0.33,0.21117004189378666,0.22914840241306003
0.335,0.21333443618509476,0.2344739489795758
0.34,0.21692401151531468,0.23662656112672736
0.34500000000000003,0.21958432547060813,0.23849730798411845
0.35000000000000003,0.22131829191458388,0.24063567865914906
0.355,0.22635737464455555,0.2428009007855879
0.36,0.22855495874176615,0.24438430471515704
0.365,0.23133036789185712,0.2474236733519173
0.37,0.23294845579237203,0.24904428537590328
0.375,0.23433716953325742,0.25091607030296964
0.38,0.24091848976988833,0.2526788887478149
